ticker,spot,vol_30d,corr_3m,corr_6m,corr_12m,put_pct_3m,put_pct_6m,put_pct_12m,hedge_cost_3m,hedge_cost_6m,hedge_cost_12m,ytd_return,1y_return,score_long,score_short
CAKE,61.7100,0.367312,-0.349290,-0.203838,-0.118971,0.092049,0.123533,0.161636,23012.20,30883.37,40408.97,0.174072,0.759022,0.464798,0.225207
PATH,11.8600,0.589042,0.270783,0.149508,0.133757,0.148990,0.200665,0.263783,37247.42,50166.15,65945.71,-0.253149,-0.497458,0.057401,0.284396
POOL,213.6600,0.516289,-0.250873,-0.166248,-0.116635,0.130738,0.176173,0.231773,32684.60,44043.27,57943.37,-0.069871,-0.468901,0.316696,0.138058
MP,58.2300,0.738643,0.244792,0.135671,0.132853,0.185478,0.249072,0.326018,46369.62,62267.95,81504.54,0.059305,2.813359,-0.048509,0.161159
PLAY,13.9700,0.691609,-0.244421,-0.120750,-0.058324,0.174148,0.234118,0.306937,43537.05,58529.49,76734.28,-0.180164,-0.779096,0.167184,0.017084
EQT,61.9600,0.303797,-0.228352,-0.223450,-0.127619,0.074755,0.099570,0.128903,18688.86,24892.59,32225.75,0.162264,0.710083,0.489716,0.266018
GTLB,24.9100,0.650609,0.225574,0.173912,0.135780,0.164167,0.220888,0.289948,41041.85,55221.97,72486.96,-0.311498,-0.578368,0.017447,0.229564
BLDR,93.1200,0.427823,-0.225416,-0.119849,-0.074072,0.108015,0.145391,0.191006,27003.67,36347.64,47751.40,-0.110007,-0.543820,0.368587,0.225110
TREX,37.5400,0.275560,-0.224723,-0.113427,-0.059838,0.066886,0.088575,0.113719,16721.62,22143.66,28429.70,0.047725,-0.607855,0.469073,0.290716
IRTC,123.5900,0.478909,0.223616,0.164912,0.037924,0.121215,0.163313,0.214819,30303.63,40828.33,53704.70,-0.294658,0.103482,0.162181,0.351048
PATK,115.8100,0.311979,-0.222695,-0.153180,-0.075508,0.077024,0.102735,0.133265,19255.95,25683.75,33316.34,0.052333,0.595435,0.465874,0.283054
LQD,110.1600,0.033818,-0.220994,-0.138800,-0.110477,0.002763,0.002220,0.001313,690.69,554.94,328.29,0.003441,0.101657,0.476499,0.282267
NET,195.1900,0.770319,0.215667,0.153061,0.085874,0.193039,0.259012,0.338630,48259.73,64752.96,84657.42,-0.004234,0.937370,-0.063149,0.127777
