rank,ticker,spot,vol_30d,corr_3m,corr_6m,corr_12m,put_pct_3m,put_pct_6m,put_pct_12m,hedge_cost_3m,1y_return,score_long
1,EQT,61.9600,0.303797,-0.228352,-0.223450,-0.127619,0.074755,0.099570,0.128903,18688.86,0.710083,0.489716
2,XLRE,42.8900,0.132962,-0.214326,-0.161991,-0.108341,0.027568,0.034145,0.039808,6891.90,0.156874,0.480548
3,LQD,110.1600,0.033818,-0.220994,-0.138800,-0.110477,0.002763,0.002220,0.001313,690.69,0.101657,0.476499
4,VNQ,93.5500,0.125387,-0.199155,-0.142904,-0.101655,0.025521,0.031362,0.036145,6380.37,0.165513,0.473262
5,TREX,37.5400,0.275560,-0.224723,-0.113427,-0.059838,0.066886,0.088575,0.113719,16721.62,-0.607855,0.469073
6,PATK,115.8100,0.311979,-0.222695,-0.153180,-0.075508,0.077024,0.102735,0.133265,19255.95,0.595435,0.465874
7,TRGP,237.2000,0.230798,-0.197250,-0.112418,-0.088757,0.054447,0.071238,0.089893,13611.85,1.353682,0.465699
8,CAKE,61.7100,0.367312,-0.349290,-0.203838,-0.118971,0.092049,0.123533,0.161636,23012.20,0.759022,0.464798
9,IEF,96.4500,0.044985,-0.146013,-0.120362,-0.120372,0.005058,0.004756,0.003641,1264.55,0.088222,0.457002
10,HYG,79.6900,0.029368,-0.191706,-0.087698,-0.062665,0.001963,0.001421,0.000705,490.77,0.152258,0.456150
